oidezor,msezor,krova,ktatrova,g5to9,g10to14,g15to19,g20to24,g25to29,g30to34,g35to39,g40to44,g45to49,g50to54,g55to59,g60to64,g65to69,g70to74,sumpop,shana,g75to79,g80to84,g85to89,g90up,ShapeArea,g0to4,UniqueId,dateimport,OBJECTID_1,Join_Count,TARGET_FID,start,OBJECTID_12,Join_Count_1,TARGET_FID_1,end,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
1,111,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191897.245,0,512-1,28/12/2021 02:08,1,6565,0,6565,1,6524,0,6524,0.178990609,0.000305,0.178990609,0.000305
2,112,1,11,475,403,312,266,229,296,405,448,453,322,326,349,434,514,6191,2020,271,157,55,23,1158055.102,454,512-2,28/12/2021 02:08,2,4856,1,4856,2,4919,1,4919,0.052480893,0.000110672,0.052480893,0.000110672
13,113,1,11,1169,930,717,606,542,742,1006,1019,894,731,531,521,546,603,12327,2020,332,188,84,30,756403.8758,1135,512-13,28/12/2021 02:08,13,6067,12,6067,13,6133,12,6133,0.035107511,7.22761E-05,0.035107511,7.22761E-05
31,114,1,11,511,473,381,395,324,465,520,527,471,390,324,335,368,420,7140,2020,288,191,110,48,873612.5048,598,512-31,28/12/2021 02:08,31,4753,30,4753,31,4769,30,4769,0.038702096,8.3466E-05,0.038702096,8.3466E-05
33,115,1,11,514,348,251,238,244,321,455,461,352,266,239,321,372,392,5694,2020,210,136,65,29,421229.9333,483,512-33,28/12/2021 02:08,33,3428,32,3428,33,3457,32,3457,0.028635899,4.02422E-05,0.028635899,4.02422E-05
4,121,1,12,272,236,185,202,206,216,255,272,233,173,160,221,259,278,3768,2020,144,107,57,30,424161.676,263,512-4,28/12/2021 02:08,4,2347,3,2347,4,2365,3,2365,0.026315483,4.05336E-05,0.026315483,4.05336E-05
3,122,1,12,267,266,162,167,162,180,220,238,246,146,187,207,285,315,3662,2020,201,107,57,43,407483.8772,205,512-3,28/12/2021 02:08,3,4198,2,4198,3,4216,2,4216,0.026879924,3.89403E-05,0.026879924,3.89403E-05
7,123,1,12,388,296,208,192,248,316,420,363,316,215,194,202,334,341,4834,2020,195,103,65,32,269936.0057,405,512-7,28/12/2021 02:08,7,3046,6,3046,7,3106,6,3106,0.02325669,2.57947E-05,0.02325669,2.57947E-05
15,124,1,12,367,308,251,205,173,165,234,295,344,222,222,233,198,280,4629,2020,245,301,215,113,286067.9271,259,512-15,28/12/2021 02:08,15,3288,14,3288,15,3343,14,3343,0.024118474,2.73352E-05,0.024118474,2.73352E-05
17,125,1,12,421,306,223,229,308,337,373,410,314,226,195,176,177,232,4758,2020,152,147,106,50,232621.2736,376,512-17,28/12/2021 02:08,17,3168,16,3168,17,3179,16,3179,0.025252646,2.22272E-05,0.025252646,2.22272E-05
11,131,1,13,165,173,161,147,116,103,140,150,159,128,120,148,139,152,2501,2020,108,105,79,49,534391.326,158,512-11,28/12/2021 02:08,11,3425,10,3425,11,3377,10,3377,0.02918212,5.1064E-05,0.02918212,5.1064E-05
22,132,1,13,200,139,106,163,328,261,291,225,197,129,143,102,131,118,3139,2020,130,121,79,39,257426.8039,237,512-22,28/12/2021 02:08,22,3943,21,3943,22,4012,21,4012,0.020127039,2.45972E-05,0.020127039,2.45972E-05
29,133,1,13,327,228,182,235,503,478,410,357,323,257,201,175,200,203,5104,2020,136,167,144,164,513370.7844,415,512-29,28/12/2021 02:08,29,4043,28,4043,29,4118,28,4118,0.029185516,4.9049E-05,0.029185516,4.9049E-05
28,134,1,13,269,237,422,1569,834,365,258,239,248,186,158,136,122,101,5672,2020,46,73,82,103,348557.4871,226,512-28,28/12/2021 02:08,28,5235,27,5235,28,5286,27,5286,0.03031228,3.33022E-05,0.03031228,3.33022E-05
24,135,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459851.148,0,512-24,28/12/2021 02:08,24,8864,23,8864,24,7951,23,7951,0.061285124,0.00013948,0.061285124,0.00013948
30,136,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881473.628,0,512-30,28/12/2021 02:08,30,2200,29,2200,30,2196,29,2196,0.087431968,0.000179749,0.087431968,0.000179749
